80	6683.91	301.215
100	2883.67	126.968
125	1315.04	62.0114
150	689.592	34.6605
175	397.021	21.3472
200	244.321	13.8982
225	158.09	9.56897
250	106.302	6.63225
275	73.7884	4.79301
300	52.569	3.5507
325	38.2794	2.70668
350	28.3799	2.0796
375	21.3859	1.61303
400	16.3405	1.26734
425	12.6435	1.01146
450	9.88317	0.813575
475	7.80868	0.659301
500	6.21625	0.543279
525	4.98488	0.445471
550	4.02662	0.362855
575	3.27691	0.303924
600	2.68388	0.255607
625	2.20317	0.213665
650	1.82122	0.186275
675	1.51667	0.152791
700	1.25981	0.13226
725	1.05324	0.107062
750	0.890126	0.0958385
775	0.744491	0.0808315
800	0.630966	0.0708789
825	0.535245	0.0590975
850	0.45283	0.0517395
875	0.386926	0.0428921
900	0.328529	0.0403214
925	0.283075	0.0322892
950	0.24241	0.0294562
975	0.206987	0.0216365
1000	0.182305	0.0254472
1025	0.15685	0.0185931
1050	0.136754	0.0173155
1075	0.116612	0.0156864
1100	0.0964837	0.0141733
1125	0.0865278	0.013431
1150	0.0765253	0.0125656
1175	0.0661394	0.0117384
1200	0.05633	0.0107865
1225	0.0507347	0.005345
1250	0.0406719	0.00443465
1275	0.0408149	0.00445492
1300	0.0304569	0.00345704
1325	0.0305873	0.00352806
1350	0.0261173	0.0081195
1375	0.0204332	0.00248229
1400	0.0203259	0.00256577
1425	0.0203678	0.00266911
1450	0.0160618	0.00715417
1475	0.0102831	0.0013767
1500	0.0103036	0.00141695
