,LamS,LamS1H,LamS2H,LamSP,LamSPH,MDF,MS12,MS22,NSD,NSI,Omega,PSD,PSI,S,T,U,XU11,XU12,XU21,XU22,XV11,XV12,XV21,XV22,YRA11,YRA12,YRA13,YRA21,YRA22,YRA23,YRB11,YRB12,YRB13,YRB21,YRB22,YRB23,YRC,YRD,mCha,mChi1,mChi2,mS1,mS2,mh1,mh2,mn1,mn2,mn3,mueg,mv1,mv2,mv3,vS,vevSM
10,0.0001,0.0,0.0,0.1,0.0,618.0646931711343,8000000.0,7000000.0,3.678e-06,1.399e-06,1.24,4.809e-06,3.6880000000000003e-08,0.00125498352,-0.00206612265,0.00022825863099999998,0.157496288,-0.9875195790000001,0.9875195790000001,0.157496288,0.0549447737,-0.998489395,0.998489395,0.0549447737,0.0,0.0037123633606206273,0.003283769597187953,0.0,0.29494131513847965,0.7175160942015075,-2.4526723367480238e-08,1.4495664659469453e-07,3.1973596346115687e-07,-2.4661931802755303e-10,-2.210819909970005e-09,-3.0474923858642006e-09,0.1,0.5,618.06469,215.62047599999997,624.930433,2645.75131,2828.42712,124.861947,974.9957880000001,0.0,1.046124856048268e-11,4.08234506775392e-11,0.0,2.92176811e-19,8.52052452e-12,5.01218554e-11,3083.2074399788735,244.874425
11,0.0001,0.0,0.0,0.1,0.0,261.9953543351536,8000000.0,7000000.0,7.159999999999999e-05,1.764e-05,0.175,9.364e-05,4.14e-07,0.010686853500000001,-0.0102146818,0.00270503688,0.316505123,-0.9485908009999999,0.9485908009999999,0.316505123,0.031040141,-0.9995181390000001,0.9995181390000001,0.031040141,0.0,0.00016375483177941198,0.11067278658541052,0.0,0.009696234261538894,0.048665874968759015,6.819173009289746e-08,-3.2902593092498525e-08,-2.542128308796061e-07,-1.986449577408233e-07,-1.998717214751004e-07,2.2418072594373547e-07,0.1,0.5,261.99535,25.6942843,276.061189,2645.75131,2828.42712,121.07745800000001,124.86186399999998,4.336808689942018e-19,7.7219403853543e-12,5.573579367690002e-11,0.0,1.7883346e-19,8.71914537e-12,4.93613119e-11,382.8805423990296,244.87426200000002
12,0.0001,0.0,0.0,0.1,0.0,853.5122626592523,8000000.0,7000000.0,7.764e-07,1.853e-07,0.649,1.015e-06,4.401e-09,0.0007230279300000001,-0.00151668135,0.00014240168900000002,0.10112897,-0.9948733240000001,0.9948733240000001,0.10112897,0.00464987844,-0.9999891890000001,0.9999891890000001,0.00464987844,0.0,0.00037099734558856636,0.0001863189533118099,0.0,0.0008189170938480438,0.0017743076496695453,-1.0004750735578194e-06,7.798291365157193e-06,1.1767285252738013e-05,-5.281991326499898e-07,-3.9315505299580665e-06,-3.819056200534575e-06,0.1,0.5,853.51226,39.2442268,857.9012140000003,2645.75131,2828.42712,124.861947,176.408007,0.0,9.854218321242897e-12,4.276373328331597e-11,0.0,1.53389204e-19,8.53284894e-12,4.93860394e-11,557.8511003561177,244.874425
13,0.0001,0.0,0.0,0.1,0.0,335.71348840980687,8000000.0,7000000.0,3.011e-05,7.656000000000001e-06,0.000404,3.938e-05,1.825e-07,0.00376304314,-0.008619448370000001,0.0016368468,0.25401548,-0.967200153,0.967200153,0.25401548,0.0341346596,-0.999417243,0.999417243,0.0341346596,0.0,0.5705960179474869,0.00043544791347859246,0.0,0.04208954916398057,0.0068469298920164744,1.6385334018032082e-08,8.768327883524351e-08,8.39384874644726e-08,-2.2153957736849603e-07,-1.0935540243040595e-06,-9.988639154922578e-07,0.1,0.5,335.71349,45.11325720000001,346.895986,2645.75131,2828.42712,124.861947,208.472927,0.0,5.457858270598256e-12,7.97135525676134e-11,0.0,1.0539440500000001e-19,8.55513036e-12,5.08543727e-11,659.2492751499279,244.874425
14,0.0001,0.0,0.0,0.1,0.0,134.01715183835736,8000000.0,7000000.0,1.095e-05,0.007004000000000001,0.002,1.432e-05,0.000161,0.006225956479999999,-0.00340023506,0.00490405178,0.998289729,-0.058460386399999995,0.058460386399999995,0.998289729,0.979224735,-0.20277800199999998,0.20277800199999998,0.979224735,0.0,0.00014324315598790782,0.19075352743440813,0.0,0.00024695832938291176,0.00039492532735883927,2.468846187450274e-10,-1.081550686509386e-08,-1.5482109666934566e-08,-1.2411476307284687e-06,-1.1151322210589063e-06,1.5232499851642255e-06,0.1,0.5,134.01715,131.457737,464.85717300000016,2645.75131,2828.42712,124.861947,2039.20228,4.336808689942018e-19,8.155205088404967e-12,5.604377434407386e-11,0.0,1.9209368899999997e-19,9.00839192e-12,5.07358495e-11,6448.5238370278075,244.874425
15,0.0001,0.0,0.0,0.1,0.0,155.96199068064925,8000000.0,7000000.0,0.0004367,0.000129,0.00355,0.0005711000000000001,3.047e-06,0.010656583700000001,-0.029310190899999998,0.0119267507,0.506545725,-0.8622130990000001,0.8622130990000001,0.506545725,0.118927434,-0.9929029490000001,0.9929029490000001,0.118927434,0.0,0.040548433613001776,0.06615144969474769,0.0,0.4477424709370965,0.09675027231342996,-4.5457528579184736e-08,-2.6289257887888014e-07,-2.4278589719000914e-07,-3.2584069074291475e-10,1.8122564302461883e-08,2.433363671242294e-08,0.1,0.5,155.96199,36.61694979999999,179.60191,2645.75131,2828.42712,124.861947,188.577271,0.0,7.253281022099388e-12,5.833662980545066e-11,0.0,1.63109632e-19,8.40565579e-12,5.033900379999999e-11,596.3336873586803,244.874425
16,0.0001,0.0,0.0,0.1,0.0,571.740157727788,8000000.0,7000000.0,3.954e-06,9.967e-07,2.21,5.171e-06,2.4330000000000003e-08,0.0015684187099999998,-0.0031146880199999995,0.00032083804,0.152200263,-0.988349675,0.988349675,0.152200263,0.0196567136,-0.999806788,0.999806788,0.0196567136,0.0,0.0019471895209051398,0.014131940790027657,0.0,0.00047349212269359275,0.003225385772884277,2.9187424702854863e-06,-3.054244749274686e-07,-8.797501929218489e-06,-1.1843638699125874e-05,2.070759274223117e-07,3.3956021794678805e-05,0.1,0.5,571.74016,73.8404281,578.367867,2645.75131,2828.42712,124.861947,334.05245,1.843442621789544e-18,1.5557176301406947e-12,2.72964550053097e-10,0.0,3.543440379999999e-19,8.510057099999999e-12,4.9900218e-11,1056.3665797776512,244.874425
17,0.0001,0.0,0.0,0.1,0.0,266.1168970081673,8000000.0,7000000.0,8.033e-05,2.656e-05,0.115,0.0001051,6.445999999999999e-07,0.00609084767,-0.011098043500000002,0.0019175138,0.334715197,-0.9423193390000001,0.9423193390000001,0.334715197,0.09706668369999999,-0.99527788,0.99527788,0.09706668369999999,0.0,0.10981341964406023,0.0010253311244629714,0.0,0.0030102585995982127,0.0015129683244790256,1.261239653424098e-08,9.429558640410401e-08,1.0046852307658156e-07,-6.319881265781965e-07,-3.299567139065579e-06,-3.0376260858322975e-06,0.1,0.5,266.1169,77.17332579999999,281.072725,2645.75131,2828.42712,124.861947,364.52596,0.0,8.817653853619149e-12,4.924373529654878e-11,0.0,3.3459521600000003e-19,8.78037081e-12,4.94527286e-11,1152.7323250313189,244.874425
18,0.0001,0.0,0.0,0.1,0.0,104.38254169871851,8000000.0,7000000.0,0.001103,0.0002734,0.126,0.001443,6.334e-06,0.102650185,-0.0192454678,0.011221528400000002,0.642463444,-0.766316333,0.766316333,0.642463444,0.0664798001,-0.9977877709999999,0.9977877709999999,0.0664798001,0.0,0.00013103415286603697,0.0017719862286604566,0.0,0.0021238045459527717,0.01853571447003944,8.967252421313846e-05,1.142794022626059e-05,-0.0002163271082383819,-8.27250559981145e-06,-3.72844282424285e-06,1.5694116866343367e-05,0.1,0.5,104.38254,10.8011288,135.912048,2645.75131,2828.42712,62.894727,124.860378,0.0,4.765693806590453e-12,8.969452993009017e-11,0.0,4.33600362e-19,8.52254996e-12,5.01559533e-11,198.8905851266291,244.87134700000001
19,0.0001,0.0,0.0,0.1,0.0,188.6094992086583,8000000.0,7000000.0,2.147e-06,0.007217,0.0039,2.807e-06,0.0001657,0.0029458387300000002,-0.0015315896599999998,0.00233379545,0.999340625,-0.036308615,0.036308615,0.999340625,0.990972335,-0.13406652,0.13406652,0.990972335,0.0,0.011401123960765834,0.0049804139492620365,0.0,0.0019054167964067047,0.024378512742858724,-1.5801208767649632e-08,-7.208611910190799e-09,3.0209737189623747e-08,-8.060059247302986e-09,-4.999437611921644e-08,-5.846758624555928e-08,0.1,0.5,188.6095,187.03011999999998,696.424782,2645.75131,2828.42712,124.861947,3088.42602,6.133173666733497e-19,9.647019171766103e-12,4.4940684536634136e-11,0.0,2.46804375e-19,8.74157056e-12,4.95956075e-11,9766.460620450604,244.874425
20,0.0001,0.0,0.0,0.1,0.0,954.005390144635,8000000.0,7000000.0,5.049e-07,1.206e-07,0.6559999999999999,6.603000000000001e-07,2.8899999999999997e-09,0.000586707548,-0.0012120830900000002,0.000105946645,0.09062026150000001,-0.99588552,0.99588552,0.09062026150000001,0.00469694794,-0.999988969,0.999988969,0.00469694794,0.0,0.004095912800486189,0.00041576798968940735,0.0,0.015868879646546468,0.0048623017646194045,8.851340249812777e-07,4.7793764765105975e-06,5.758493550700448e-06,-2.47591836131076e-07,-1.1638384082607531e-06,-1.3215355167649138e-06,0.1,0.5,954.00539,49.4471499,957.9362769999999,2645.75131,2828.42712,124.861947,222.04554,0.0,7.356221931930097e-12,6.005713034707972e-11,0.0,1.4657563899999998e-19,8.86599525e-12,4.98298158e-11,702.1696520639372,244.874425
