,MDF,MS12,MS22,LamS1H,LamS2H,LamSPH,LamS,LamSP,vS,YRD,YRC,YRA11,YRA12,YRA13,YRA21,YRA22,YRA23,YRB11,YRB12,YRB13,YRB21,YRB22,YRB23,mh1,mh2,mv3,mv2,mv1,mS1,mS2,mCha,mChi1,mChi2,XV11,XV12,XV21,XV22,XU11,XU12,XU21,XU22,vevSM,Omega,PSI,PSD,NSI,NSD,T,S,U,mueg
0,104.82937475119188,8000000.0,7000000.0,0.0,0.0,0.0,0.0001,0.1,3349.5119992615996,1.0,0.1,0.0,0.0006241674423867258,0.0417964774641138,0.0,0.004344718477182564,0.0013595624885748346,-9.600076380541074e-09,-5.9069151643546334e-08,-5.549042750178442e-08,-7.14160848431371e-08,-4.948509690454416e-08,9.071716847528814e-08,124.861947,1059.2087,4.99312507e-11,8.84326398e-12,3.9364629700000005e-19,2645.75131,2828.42712,104.82937,82.6534123,300.392253,0.7685535,-0.639785525,0.639785525,0.7685535,0.974756842,-0.223269119,0.223269119,0.974756842,244.874425,0.00113,0.0001004,0.001291,0.004304,0.0009874,-0.134393871,0.0447168339,0.0180892708,0.0
1,104.16651064637016,8000000.0,7000000.0,0.0,0.0,0.0,0.0001,0.1,77.69541427184568,1.0,0.1,0.0,0.012032379443921808,0.010106338768029731,0.0,0.008280419436722338,0.010337993277333856,-1.9885453101408373e-07,-8.637858519383823e-06,-1.1959893877341893e-05,1.0481715175123407e-06,1.1919810281660032e-05,1.4756417928404846e-05,24.5694472,124.859354,2.94911071e-11,5.0834120799999995e-12,2.34917753e-19,2645.75131,2828.42712,104.16651,2.83135808,202.122054,0.0232956856,-0.999728619,0.999728619,0.0232956856,0.8570552370000001,-0.515224534,0.515224534,0.8570552370000001,244.869339,1.11,1.302e-05,0.003105,0.0005661,0.002375,-0.353225718,0.233969807,0.0443979717,0.0
2,109.70057668305977,8000000.0,7000000.0,0.0,0.0,0.0,0.0001,0.1,74.83246351714155,1.0,0.1,0.0,0.7484574324227002,0.0001952489733043352,0.0,0.007552688525190809,0.1518040864881654,8.45622881796721e-09,6.146450800332981e-09,-1.5057201710380353e-08,6.946472829886272e-08,3.118648805067686e-07,3.182625365212232e-07,23.6641029,124.85933500000002,3.20222493e-11,5.532678319999999e-12,2.7244766700000003e-19,2645.75131,2828.42712,109.70058,2.83126197,205.023629,0.0218058323,-0.999762225,0.999762225,0.0218058323,0.844892656,-0.534935883,0.534935883,0.844892656,244.869302,1.17,1.23e-05,0.002933,0.0005344999999999999,0.002243,-0.343448077,0.23090827100000005,0.0440832152,0.0
3,103.85415526725744,8000000.0,7000000.0,0.0,0.0,0.0,0.0001,0.1,19.066488608563173,1.0,0.1,0.0,0.2777415700370798,0.0006557110872369995,0.0,0.0051493969184355825,0.0026650181216092052,-2.114920133452299e-07,-1.451265044417454e-06,-1.4508523530587953e-06,1.5300462221749038e-05,7.426000476400799e-05,6.432007464794041e-05,6.02935322,124.859088,2.99416659e-11,5.11492465e-12,3.21916851e-19,2645.75131,2828.42712,103.85416,0.693462785,201.909367,0.00572629248,-0.999983605,0.999983605,0.00572629248,0.85757925,-0.5143518539999999,0.5143518539999999,0.85757925,244.868819,21.8,4.163e-06,0.0009975,0.0001814,0.0007627999999999999,-0.349905429,0.33457685600000003,0.0501616985,0.0
4,452.3237303605512,8000000.0,7000000.0,0.0,0.0,0.0,0.0001,0.1,153.9251458654997,1.0,0.1,0.0,0.0007492437736244858,0.031250888979573094,0.0,0.00019138533366610708,0.0007113998852676592,1.5150120801389114e-07,-2.691691531430184e-07,-8.004033138649985e-07,-9.832929897298416e-06,-7.956131186839827e-06,1.4407831176502484e-05,48.6754063,124.859973,4.97205449e-11,8.96851055e-12,2.5816691500000003e-19,2645.75131,2828.42712,452.32373,10.1645163,484.347704,0.00803724117,-0.999967701,0.999967701,0.00803724117,0.35765941100000004,-0.9338521,0.9338521,0.35765941100000004,244.870553,1.33,5.9e-07,0.00014,2.548e-05,0.0001071,-0.0304181131,0.101684573,0.00142954925,0.0
5,872.8459037268341,8000000.0,7000000.0,0.0,0.0,0.0,0.0001,0.1,515.0043449934792,1.0,0.1,0.0,0.06872740799482996,0.002375211699964632,0.0,0.0033742969816878245,0.6547525523950036,-6.645061745611173e-09,-5.205017517970107e-09,7.2050681917018565e-09,-9.162978520275461e-10,-4.44018343428897e-09,-4.407342143955747e-09,124.861947,162.85867199999996,5.04359614e-11,8.49085161e-12,3.8163414700000007e-19,2645.75131,2828.42712,872.8459,35.7190985,889.883139,0.007975766970000001,-0.999968193,0.999968193,0.007975766970000001,0.19489897,-0.980823323,0.980823323,0.19489897,244.874425,0.182,6.022999999999999e-08,1.396e-05,2.544e-06,1.067e-05,-0.0225974733,0.00239071378,0.000576257481,0.0
6,380.34198109452996,8000000.0,7000000.0,0.0,0.0,0.0,0.0001,0.1,23868.50362259166,1.0,0.1,0.0,0.009861257396849251,0.0655336339975072,0.0,0.17059455877302768,0.0004592085631388225,-8.983884643555442e-10,-4.3324196156210735e-09,-3.808366593709477e-09,-1.470569448087604e-10,5.5406071460125186e-11,4.525535386571433e-10,124.861947,7547.8837,4.93123058e-11,8.57185778e-12,1.8391983399999998e-19,2645.75131,2828.42712,380.34198,378.251867,1697.08418,0.99421655,-0.107393906,0.107393906,0.99421655,0.99971031,-0.0240685827,0.0240685827,0.99971031,244.874425,0.0154,0.0001678,1.22e-06,0.007306,9.332e-07,-0.0042786473100000005,0.00231396961,0.000559714458,0.0
7,1253.552336971233,8000000.0,7000000.0,0.0,0.0,0.0,0.0001,0.1,23.695052970122447,1.0,0.1,0.0,0.1434001100673789,0.002043821714965168,0.0,0.2842950486288286,0.03214862847604623,8.183747867555522e-07,4.088422986879713e-06,4.490251433701986e-06,-4.085167799937242e-07,-1.923139651855547e-06,-2.053999168427612e-06,7.49303368,124.859098,5.02661973e-11,8.72774412e-12,1.85463665e-19,2645.75131,2828.42712,1253.5523,1.65973513,1265.45399,0.000181162892,-0.999999984,0.999999984,0.000181162892,0.136827351,-0.99059491,0.99059491,0.136827351,244.868838,2550.0,6.102999999999999e-09,1.461e-06,2.656e-07,1.117e-06,0.0511331189,0.25495388,0.00396049754,0.0
8,123.0497781230964,8000000.0,7000000.0,0.0,0.0,0.0,0.0001,0.1,116.13301693541821,1.0,0.1,0.0,0.04049458642023676,0.3939776569970282,0.0,0.9569427654305188,0.14532217471763487,1.7079429965185763e-08,9.390137024815661e-08,8.687709353515098e-08,3.813558796509851e-09,3.417503276502077e-10,-8.710008389957383e-09,36.7244855,124.859645,3.605189310000001e-11,6.16807921e-12,2.5183761499999997e-19,2645.75131,2828.42712,123.04978,4.75458175,212.524618,0.0315119888,-0.999503374,0.999503374,0.0315119888,0.8155382520000001,-0.57870317,0.57870317,0.8155382520000001,244.869911,0.344,1.324e-05,0.003144,0.0005746000000000001,0.002404,-0.324195484,0.17362766,0.0415436197,0.0
9,164.9818060546375,8000000.0,7000000.0,0.0,0.0,0.0,0.0001,0.1,233.89874236928452,1.0,0.1,0.0,0.6622226814794664,0.5103501870817674,0.0,0.0006279245331732433,0.0005187982900057619,-3.62139330883256e-08,-4.2477646248733114e-07,-5.496311845213142e-07,3.816154987813904e-05,0.0004057202538112335,0.0005167431286059584,73.965276,124.86068799999998,4.686632929999999e-11,8.365648769999999e-12,3.600870170000001e-19,2645.75131,2828.42712,164.98181,11.3947703,239.465733,0.0501165006,-0.998743379,0.998743379,0.0501165006,0.725623316,-0.688092148,0.688092148,0.725623316,244.871955,0.0712,1.028e-05,0.002396,0.0004433,0.001832,-0.267524955,0.07672501429999999,0.0341357749,0.0
