,MDF,MS12,MS22,LamS1H,LamS2H,LamSPH,LamS,LamSP,vS,YRD,YRC,YRA11,YRA12,YRA13,YRA21,YRA22,YRA23,YRB11,YRB12,YRB13,YRB21,YRB22,YRB23,mh1,mh2,mv3,mv2,mv1,mS1,mS2,mCha,mChi1,mChi2,XV11,XV12,XV21,XV22,XU11,XU12,XU21,XU22,vevSM,Omega,PSI,PSD,NSI,NSD,T,S,U,mueg,taumug,sv,ZH11,ZH12,ZH21,ZH22,BRh1gg,BRh2gg
452,1201.1713783707612,43235941.86390048,43235941.86390048,0.05412012144789907,0.05412012144789907,0.04571394624518458,0.0,0.4852510245546477,9897.013145127054,0.015292883117849624,0.3731548693786682,0.0,0.8313108118195139,0.018950819039698297,0.0,0.00015447940812057307,0.0004506521902653691,-1.1918838376540254e-09,3.676341514177079e-09,9.608153895369858e-09,-6.977929735945433e-06,-3.399570100394997e-05,-3.5158428271322246e-05,123.823182,6894.27422,4.9370478000000004e-11,8.837395450000003e-12,2.1060057100000004e-19,6575.52771,6575.52771,1201.1714,1201.17062,2611.43093,0.999999173,-0.00128610265,0.00128610265,0.999999173,0.999999825,-0.0005915644550000001,0.0005915644550000001,0.999999825,244.87438,0.13699999999999998,0.0001702,1.735e-14,0.007422,1.3269999999999998e-14,3.04554797e-06,1.48217757e-06,5.455855510000001e-05,0.0,1.38232679e-15,1.66e-26,0.999997282,-0.00233163407,0.00233163407,0.999997282,0.00283220244,0.0
453,120.17168801852458,2336377.837509352,2336377.837509352,0.0005380433259868061,0.0005380433259868061,0.00016117311266989798,0.0,0.0280269132624966,114.04413035419542,0.006081740853747113,0.32419336565877194,0.0,0.02893307767075915,0.00011770935783187837,0.0,0.438547226853076,0.0032589445616152137,0.0016768226495584282,0.007651025843252499,0.008213567342341866,-0.00011089212559776509,-0.0005050034014211893,-0.000541621340973845,19.0923671,124.859253,4.91916987e-11,8.58862406e-12,3.47977415e-19,1528.5267199999996,1528.5267199999996,120.17168999999998,26.1423465,120.176533,0.00200089249,-0.999997998,0.999997998,0.00200089249,0.00919774484,-0.9999577,0.9999577,0.00919774484,244.869131,0.133,5.32e-12,6.187e-11,3.671e-12,4.731e-11,0.05966186530000001,0.18788727,0.005543535329999999,0.0,5.2599699e-15,2.35e-31,0.000295619656,-0.999999956,-0.999999956,-0.000295619656,0.0,0.00284042072
454,972.89873231798,3150853.528558599,3150853.528558599,0.07678312963155888,0.07678312963155888,0.029541897818148605,0.0,0.234548753965978,5839.037082847763,0.8886739610458964,0.4089911733003088,0.0,0.8740490002987497,0.08778064845080204,0.0,0.016385184318840326,0.03363365478402526,-4.322393882457084e-12,4.1514710950482726e-11,7.447225656439381e-11,-5.721344612669591e-10,-3.0032826491279684e-09,-2.9874978842419186e-09,123.963525,2827.89882,4.9800696200000006e-11,8.9268849e-12,2.95613107e-19,1775.7127,1775.7127,972.89873,966.944106,1699.0510800000004,0.990934168,-0.134348333,0.134348333,0.990934168,0.997036527,-0.07692960160000001,0.07692960160000001,0.997036527,244.874386,0.101,0.00016680000000000002,1.501e-06,0.007238,1.148e-06,-0.00192453821,0.000753054626,8.509238450000001e-05,0.0,2.0015967199999998e-12,2.39e-26,0.999985996,-0.00529220522,0.00529220522,0.999985996,0.00283305863,0.0
455,130.6210806779468,49719991.03469844,49719991.03469844,0.000521349219723472,0.000521349219723472,0.0002454858349925201,0.0,0.5398229427324479,3530.294589745877,0.13319349934668778,0.03696073284715051,0.0,0.00045607604010858976,0.5934155542023729,0.0,0.1663543270354838,0.9062086514811164,1.2247632356386242e-07,-4.855996067230254e-08,-4.359257158657298e-07,-1.1085376458740112e-07,-1.1346558042132516e-07,1.25663769534413e-07,124.86192,2593.80078,5.09050359e-11,8.63371796e-12,3.9694121600000006e-19,7051.2415,7051.2415,130.62108,89.6600645,134.415933,0.21737712,-0.976087695,0.976087695,0.21737712,0.316685408,-0.948530628,0.948530628,0.316685408,244.874425,0.133,9.308e-07,2.816e-05,3.947e-05,2.153e-05,-0.00014996659299999998,0.00160738864,0.00511653846,0.0,1.44906342e-13,2.0400000000000003e-26,1.0,-3.16165984e-05,3.16165984e-05,1.0,0.0028401437300000004,0.0
456,1083.9454942356556,99459852.74871776,99459852.74871776,0.0004397234877539937,0.0004397234877539937,0.001577758959357838,0.0,0.6500366537176213,23049.34577025416,0.6075460088162415,0.8068751944535097,0.0,0.0002408325010936588,0.0006256417675426148,0.0,0.008016558325539559,0.05096155107849038,-3.2998263888554397e-07,8.921016636094149e-08,1.1105890580662798e-06,1.9262076831744385e-09,-1.0884861215588172e-08,-2.3351502717497396e-08,124.861027,18583.5007,4.91057754e-11,8.419037199999997e-12,1.8533216399999998e-19,9972.95674,9972.95674,1083.9455,1083.91058,13151.157,0.999967567,-0.00805385764,0.00805385764,0.999967567,0.99999978,-0.000663815569,0.000663815569,0.99999978,244.874425,0.111,0.0001702,4.235e-11,0.00742,3.238e-11,-1.05576437e-05,2.66135623e-05,6.70435073e-05,0.0,2.18453698e-19,2.06e-26,1.0,-2.5787381800000007e-05,2.5787381800000007e-05,1.0,0.00282693007,0.0
457,290.2846801349998,58183201.54478315,58183201.54478315,0.0013236266766670794,0.0013236266766670794,0.07453041583410447,0.0,0.013389038459933776,3706.163835757922,0.12407540106604426,0.1477062856712966,0.0,0.02293718907800565,0.015417021931732713,0.0,0.11127625447667686,0.017803265563338954,-4.107911671353572e-07,-2.318906537037164e-06,-2.0058676947125847e-06,5.3741191645306766e-08,4.502801380011778e-07,4.544081364617718e-07,124.861027,18583.5007,4.91057754e-11,8.419037199999997e-12,1.8533216399999998e-19,9972.95674,9972.95674,1083.9455,1083.91058,13151.157,0.999967567,-0.00805385764,0.00805385764,0.999967567,0.99999978,-0.000663815569,0.000663815569,0.99999978,244.874425,0.111,0.0001702,4.235e-11,0.00742,3.238e-11,-1.05576437e-05,2.66135623e-05,6.70435073e-05,0.0,2.18453698e-19,2.06e-26,1.0,-2.5787381800000007e-05,2.5787381800000007e-05,1.0,0.00282693007,0.0
458,5201.657158007905,22458572.51494057,22458572.51494057,0.0017025358433289555,0.0017025358433289555,0.0088687827617251,0.0,0.16801847277248755,906.5688721253116,0.17265008433269466,0.26608861951658463,0.0,0.05237853269039027,0.0019357718350673497,0.0,0.8857293552091531,0.040910361184574716,2.289609553347452e-06,1.0284022695585491e-05,1.0966371633861422e-05,-1.362014710593494e-07,-6.089209708343483e-07,-6.476075187299293e-07,124.735198,371.645652,4.96866255e-11,8.54917512e-12,5.37063076e-19,4739.05307,4739.05307,5201.6572,170.57089399999995,5201.7432,0.000188658654,-0.999999982,0.999999982,0.000188658654,0.005753253810000001,-0.99998345,0.99998345,0.005753253810000001,244.874419,0.111,3.312e-12,1.1050000000000002e-11,4.294e-14,8.451000000000001e-12,2.8730482000000006e-05,2.3873379600000006e-05,2.08696133e-06,0.0,2.06975609e-15,3.62e-33,0.999870932,-0.0160660754,0.0160660754,0.999870932,0.00281811404,0.0
459,1060.416818505582,2847102.1591608236,2847102.1591608236,0.0030737787055853372,0.0030737787055853372,0.00035786029282551334,0.0,0.0573823439919092,17188.04695992492,0.8580080966664815,0.28393657040098336,0.0,0.07725661664372424,0.016545830856845196,0.0,0.04034760516147328,0.00041563116901429336,-1.1506122597478106e-09,-5.8748332509724255e-09,-5.191584274400181e-09,1.892467987308082e-09,1.099399143314874e-08,1.0299611734883573e-08,124.861411,4117.33,5.07268585e-11,8.83685708e-12,3.5141136799999995e-19,1687.36314,1687.36314,1060.4168,1059.33353,3454.4328,0.998872348,-0.0474766541,0.0474766541,0.998872348,0.999893793,-0.0145740399,0.0145740399,0.999893793,244.874425,0.109,0.0001699,4.253e-08,0.007402,3.252e-08,-0.000522163695,0.000317690152,7.02794045e-05,0.0,5.45253663e-16,2.12e-26,0.999999996,-8.893069870000001e-05,8.893069870000001e-05,0.999999996,0.00282706362,0.0
460,353.5345985027989,1101566.968083532,1101566.968083532,0.00032119066648846577,0.00032119066648846577,0.020920323959121224,0.0,0.013123157568777077,307.3895573520728,0.005447618893517218,0.2691031279307953,0.0,0.7826981166856967,0.13290032359449258,0.0,0.2822615647863257,0.04616301980605548,-5.111241956865445e-06,-2.5442848281501863e-05,-2.8586926447351147e-05,1.4106249441853574e-05,7.049044507479372e-05,7.934120714029003e-05,32.698941,125.541507,4.99842411e-11,8.61549253e-12,4.3220882599999997e-19,1049.56021,1049.56021,353.5346,58.4913002,353.535894,0.000453843534,-0.999999897,0.999999897,0.000453843534,0.0027431326,-0.999996238,0.999996238,0.0027431326,244.869709,0.117,2.8330000000000006e-08,5.303e-13,2.899e-08,4.055e-13,0.0540322554,0.135343712,-0.00159557652,0.0,7.21518199e-11,2.35e-32,0.107811905,-0.99417131,-0.99417131,-0.107811905,0.000170755097,0.00149036027
461,1116.720277074858,10554472.836824413,10554472.836824413,0.054726419036106484,0.054726419036106484,0.005030671383533283,0.0,0.03569489490410852,14135.267324802286,0.00013275468881524476,0.8239072142945689,0.0,0.025611955084391454,0.5078915799996394,0.0,0.017162931555953654,0.001873441911693464,-3.6896124242441454e-07,-1.713151063399425e-06,-1.903306822911576e-06,-6.854425693676764e-06,-4.49673246090355e-06,1.0956496213746575e-05,124.69121,2670.59707,5.03638477e-11,8.63750912e-12,3.63105204e-19,3249.0173600000007,3249.0173600000007,1116.7203,1116.7203,8235.07051,1.0,-2.8436194700000007e-06,2.8436194700000007e-06,1.0,1.0,-3.85610249e-07,3.85610249e-07,1.0,244.874418,0.119,5.641e-05,5.845999999999998e-47,0.00246,5.845999999999998e-47,2.44255631e-06,1.18089876e-06,6.31349673e-05,0.0,9.5414515e-15,1.94e-26,0.999997006,-0.00244684094,0.00244684094,0.999997006,0.0028280543100000005,0.0
