,BRh1gg,BRh2gg,LamS,LamS1H,LamS2H,LamSP,LamSPH,MDF,MS12,MS22,NSD,NSI,Omega,PSD,PSI,PSI_anal,S,T,U,XU11,XU12,XU21,XU22,XV11,XV12,XV21,XV22,YRA11,YRA12,YRA13,YRA21,YRA22,YRA23,YRB11,YRB12,YRB13,YRB21,YRB22,YRB23,YRC,YRD,ZH11,ZH12,ZH21,ZH22,mCha,mChi1,mChi2,mS1,mS2,mh1,mh2,mn1,mn2,mn3,mueg,mv1,mv2,mv3,sv,taumug,vS,vevSM
0,0.00283522278,0.0,0.0,0.0013456058239453429,0.0013456058239453429,0.1,0.0018380806308083094,289.8225371020885,9000000.0,9000000.0,2.905e-14,0.007386,0.00873,3.799e-14,0.0001694,2.155870322337009e-18,4.2040535e-07,3.28058071e-08,0.0009545255629999999,0.9999999470000001,-0.000324046565,0.000324046565,0.9999999470000001,0.99999898,-0.00142863525,0.00142863525,0.99999898,0.0,0.000892298776724726,0.00138896565483241,0.0,0.0005762126419978914,0.012265659719966262,-6.22860078558904e-06,-3.284453324553221e-06,9.811688707336587e-06,4.371548667553152e-08,-3.0096641671723597e-06,-4.170994804575584e-06,0.1,0.01,0.9999999690000001,-0.000249203807,0.000249203807,0.9999999690000001,289.82254,289.822259,1277.75062,3000.00672,3000.00672,124.85383,5714.26911,4.336808689942018e-19,8.438700258201382e-12,4.9537208129903314e-11,0.0,3.453255560000001e-19,8.438700689999999e-12,4.9537208700000005e-11,2.860000000000001e-25,1.13855672e-20,18070.10454896308,244.874425
1,0.00283004149,0.0,0.0,0.000731457939800995,0.000731457939800995,0.1,0.00043529938186725586,657.5954840779765,9000000.0,9000000.0,3.785e-13,7.152000000000003e-14,490000.0,4.949e-13,7.741e-15,2.1766954211259743e-18,5.949716110000001e-07,1.23036876e-07,0.000182577855,0.00267343653,-0.9999964259999999,0.9999964259999999,0.00267343653,0.000328368233,-0.999999946,0.999999946,0.000328368233,0.0,0.9114869802778858,0.15779835616771748,0.0,0.00010046727149474208,0.02064764426853996,-2.458981552472619e-08,-2.59813626649838e-08,3.154049433583276e-08,-1.5814121627989025e-06,-8.112872701366374e-06,-8.987089994501806e-06,0.1,0.01,0.999999438,-0.0010598129699999998,0.0010598129699999998,0.999999438,657.59548,80.769999,657.597795,3000.003660000001,3000.003660000001,124.86143,361.215866,0.0,8.784729703581331e-12,5.0945515347700464e-11,0.0,1.9148547699999998e-19,8.7847293e-12,5.0945504299999995e-11,7.069999999999997e-35,2.37315641e-12,1142.2643307097205,244.874425
2,0.0019124839800000002,0.0,0.0,0.053301903624866746,0.053301903624866746,0.1,0.09301098831744832,727.0391835471886,9000000.0,9000000.0,2.458e-13,3.619e-10,402.0,3.214e-13,3.6269999999999995e-10,1.7655405626101354e-18,0.00892232579,0.009330797049999999,-0.00021375248,0.0023950918600000003,-0.9999971320000001,0.9999971320000001,0.0023950918600000003,0.00017982415499999998,-0.999999984,0.999999984,0.00017982415499999998,0.0,0.007498206017533155,0.02107395389895058,0.0,0.00028638794704995336,0.4018941712682551,-4.133064377012687e-06,-3.8347817913682686e-06,5.591259400825035e-06,8.913309590897528e-08,-4.535721219833193e-07,-8.416021907380409e-07,0.1,0.01,0.9437155970000001,-0.33075802600000004,0.33075802600000004,0.9437155970000001,727.03918,54.586301399999996,727.041254,3000.26633,3000.26633,97.09798509999999,256.42923199999996,4.336808689942018e-19,8.569817661643931e-12,5.005119784866161e-11,0.0,1.4179703799999999e-19,8.569817199999999e-12,5.00512017e-11,5.47e-34,7.950309460000001e-18,771.9690798821613,244.87315099999998
3,0.00282707041,0.0,0.0,0.07178827800937247,0.07178827800937247,0.1,0.0007158195388704178,1060.2303475671656,9000000.0,9000000.0,7.121000000000002e-14,2.211e-14,1470000.0,9.312999999999999e-14,1.6989999999999998e-15,8.374568440472441e-18,1.95127508e-07,3.83626113e-08,7.00792869e-05,0.0018530364899999997,-0.9999982829999999,0.9999982829999999,0.0018530364899999997,0.0006383164970000001,-0.9999997959999999,0.9999997959999999,0.0006383164970000001,0.0,0.0002533430382806363,0.00019660508646305184,0.0,0.15089825646771232,0.4530580337024112,-1.139106022818729e-05,3.593637777488548e-05,9.144971722325886e-05,-1.1210656528458118e-08,-9.177959480125496e-08,-1.1544394356854027e-07,0.1,0.01,0.999999942,-0.000341369318,0.000341369318,0.999999942,1060.2303,365.218113,1060.2319,3000.3587,3000.3587,124.86070900000001,1633.3076199999994,4.336808689942018e-19,8.753369672701084e-12,4.926069845392917e-11,0.0,1.90591194e-19,8.75337117e-12,4.92606756e-11,7.28e-35,3.49726944e-13,5164.971900375909,244.874425
4,0.00281568924,0.0,0.0,0.0007111268780432187,0.0007111268780432187,0.1,0.0010892141066670183,5091.853010528861,9000000.0,9000000.0,9.929e-17,5.05e-14,91000.0,1.2990000000000003e-16,5.1660000000000004e-14,1.139780479012252e-22,4.03058584e-06,3.80582262e-06,2.86316555e-06,0.00034007472300000004,-0.999999942,0.999999942,0.00034007472300000004,2.40968008e-06,-1.0,1.0,2.40968008e-06,0.0,0.00017569179226189369,0.4007539903297267,0.0,0.0709438812701467,0.04540001555787492,-8.142644965825191e-08,-6.535312969001433e-07,-7.321760226133909e-07,-5.461198298212683e-07,-4.626046601510541e-07,6.145927341691992e-07,0.1,0.01,0.999915143,-0.013027136000000002,0.013027136000000002,0.999915143,5091.853,36.079531700000004,5091.85329,3000.00355,3000.00355,124.85484699999999,161.358074,0.0,8.418506757293425e-12,4.934948525372633e-11,0.0,1.44297973e-19,8.418506440000001e-12,4.93494861e-11,1.18e-37,3.14847168e-17,510.24165934523546,244.87442400000003
5,0.0028322961600000004,0.0,0.0,0.005280338385233657,0.005280338385233657,0.1,0.022209397556967343,1274.234074976382,9000000.0,9000000.0,2.917e-14,2.439e-13,4000.0,3.815e-14,3.489e-13,2.0556560923275647e-18,3.05306278e-05,5.6499860799999994e-05,4.7680769200000004e-05,0.00142643761,-0.999998983,0.999998983,0.00142643761,0.000310447381,-0.999999952,0.999999952,0.000310447381,0.0,0.016800750886597368,0.0045902169831722895,0.0,0.3290973618546977,0.005795672522857894,-2.020767273271714e-06,-9.754587661442747e-06,-9.548058841123337e-06,8.66001766017942e-08,4.811234737454398e-07,5.083063782152529e-07,0.1,0.01,0.999901928,-0.014004798700000001,0.014004798700000001,0.999901928,1274.2341,277.322075,1274.23533,3000.02639,3000.02639,123.65983600000001,1240.34366,0.0,8.730860131343417e-12,4.9862290860598793e-11,0.0,1.04039962e-19,8.73086006e-12,4.986229270000001e-11,2.67e-35,2.3558108e-16,3921.9301623695183,244.874373
6,0.0028244008399999996,0.0,0.0,0.00010288316640245696,0.00010288316640245696,0.1,0.0001686358938586349,1625.67443378434,9000000.0,9000000.0,9.955e-15,1.3310000000000001e-15,2480000.0,1.302e-14,3.926e-16,9.172205137234603e-20,9.27482892e-08,1.33524794e-08,2.97830555e-05,0.00106933892,-0.999999428,0.999999428,0.00106933892,6.72438983e-05,-0.999999998,0.999999998,6.72438983e-05,0.0,0.04567336739879218,0.00036800598256670776,0.0,0.0007293954068400108,0.4722079259735754,-3.1072875271707216e-07,-2.4265391553261927e-07,3.617213629374021e-07,-4.494980033257787e-08,-2.2933232747654968e-07,-1.972011705706443e-07,0.1,0.01,0.999999952,-0.000308655078,0.000308655078,0.999999952,1625.6744,102.228285,1625.67533,3000.000510000001,3000.000510000001,124.861873,457.179071,4.336808689942018e-19,8.484402149434313e-12,5.013345936249861e-11,0.0,4.0310534399999995e-19,8.484403e-12,5.013345429999999e-11,1.4699999999999991e-36,5.465164059999998e-18,1445.727149920264,244.874425
7,0.00283260017,0.0,0.0,0.076880355776134,0.076880355776134,0.1,0.0009158682579222953,437.4026235212136,9000000.0,9000000.0,2.1e-12,5.095e-13,176000.0,2.747e-12,3.605e-14,1.8747104955957893e-17,1.36974525e-06,4.036929910000001e-07,0.000414588865,0.00417978031,-0.999991265,0.999991265,0.00417978031,0.000961469057,-0.999999538,0.999999538,0.000961469057,0.0,0.0020599620783429483,0.000514729341944901,0.0,0.005361331486266064,0.0001389781516700372,-8.026373569707073e-05,-0.0003669881186443497,-0.00037043966847158903,2.6523877651430325e-05,0.00013654058757950064,0.00014774686728217425,0.1,0.01,0.999998542,-0.00170762104,0.00170762104,0.999998542,437.40262,100.615117,437.40623899999997,3000.3841399999997,3000.3841399999997,124.859765,449.96880999999996,4.336808689942018e-19,8.938455408389232e-12,4.925088306579954e-11,0.0,1.6679419000000002e-19,8.9384573e-12,4.92508766e-11,3.41e-34,4.6816442800000015e-22,1422.9243948751498,244.874425
8,0.0028174304600000004,0.0,0.0,0.07202759557182115,0.07202759557182115,0.1,0.003583988542816135,5218.526523544404,9000000.0,9000000.0,9.247e-17,1.221e-13,32900.0,1.209e-16,1.225e-13,4.696295477978276e-22,6.90876749e-06,9.131616e-06,2.6187050800000002e-06,0.00033187327799999997,-0.999999945,0.999999945,0.00033187327799999997,4.82410508e-06,-1.0,1.0,4.82410508e-06,0.0,0.008712603067542539,0.08318919391724895,0.0,0.00033296484223997995,0.002989766376042077,2.687156391371044e-05,2.666372624490007e-06,-6.746342106688885e-05,-0.0007573145859232398,-0.00012143052380408116,0.001834098056027968,0.1,0.01,0.999955238,-0.00946160058,0.00946160058,0.999955238,5218.5265,75.8564243,5218.52679,3000.3599,3000.3599,124.826268,339.253391,0.0,8.898715497305142e-12,5.079434274653999e-11,0.0,1.75526199e-19,8.898699589999997e-12,5.07944101e-11,3.2e-38,1.42077569e-18,1072.7719403672868,244.874423
9,0.0028309263,0.0,0.0,0.0034991507513832147,0.0034991507513832147,0.1,0.0001217194108229522,570.2755600270492,9000000.0,9000000.0,9.356e-13,4.132e-13,1260000.0,1.224e-12,1.173e-14,4.3138219833191266e-17,5.887019599999999e-07,1.88548868e-09,0.000243069917,0.0036181532399999997,-0.9999934540000001,0.9999934540000001,0.0036181532399999997,0.00145097608,-0.999998947,0.999998947,0.00145097608,0.0,0.0059712790040420795,0.009696781484515473,0.0,0.17102917182033495,0.22922818676234025,-5.994922106769529e-07,-3.455161927009887e-05,-5.1030683737005074e-05,-4.042865547739194e-08,1.155033653340863e-06,1.8445906451201268e-06,0.1,0.01,0.9999999959999999,-9.355120039999999e-05,9.355120039999999e-05,0.9999999959999999,570.2755599999998,228.69572999999997,570.278692,3000.0174899999997,3000.0174899999997,124.861911,1022.76402,4.336808689942018e-19,8.607931364001497e-12,5.031919205914606e-11,0.0,2.25076931e-19,8.607951420000001e-12,5.0319098200000003e-11,4.869999999999999e-34,1.9367004600000008e-13,3234.2638045899625,244.874425
