,MDF,MS12,MS22,LamS1H,LamS2H,LamSPH,LamS,LamSP,vS,YRD,YRC,YRA11,YRA12,YRA13,YRA21,YRA22,YRA23,YRB11,YRB12,YRB13,YRB21,YRB22,YRB23,mh1,mh2,mv3,mv2,mv1,mS1,mS2,mCha,mChi1,mChi2,XV11,XV12,XV21,XV22,XU11,XU12,XU21,XU22
0,398.63203820032606,18745779.15016795,18745779.15016795,0.00041620672323057685,0.00041620672323057685,0.0008029502168638259,1.686767112728393e-05,0.017569256812764472,780.7343082698669,0.0008118814134841549,0.01670242651444204,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,103.462304,124.880766,8.25757214e-11,4.87401823e-14,1.71998369e-18,4329.64103,4329.64103,398.63204,9.22078345,398.632065,8.1615968e-06,-1.0,1.0,8.1615968e-06,0.000352841383,-0.999999938,0.999999938,0.000352841383
1,220.29196966818773,1065026.909737114,1065026.909737114,0.0012610608357432212,0.0012610608357432212,0.000602378894156617,2.2297025047420947e-06,0.013793908869938353,501.8861485987832,0.001022445017390083,0.04545916216986803,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,58.9414232,124.862076,1.18121798e-09,6.97211946e-13,2.44832667e-17,1032.01972,1032.01972,220.29197,16.1328649,220.292042,5.91714272e-05,-0.999999998,0.999999998,5.91714272e-05,0.0008079774,-0.999999674,0.999999674,0.0008079774
2,446.98879231833496,6275456.5697534345,6275456.5697534345,0.014588108218564416,0.014588108218564416,0.00013063213778535208,9.710504126458889e-06,0.042593669948614306,842.9822752606411,0.00681123982986634,0.017942005846147274,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,124.861749,173.976797,1.99092336e-09,1.1751392e-12,0.0,2505.17344,2505.17344,446.98879,10.6948065,446.990347,6.31657198e-05,-0.999999998,0.999999998,6.31657198e-05,0.00264000743,-0.999996515,0.999996515,0.00264000743
3,372.440522843041,2215783.707919226,2215783.707919226,0.0029869015691197263,0.0029869015691197263,0.0011800471320871349,2.060034044740286e-06,0.049030017869035804,556.4190953587113,0.00019648593539433148,0.07827799711603435,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,122.981073,125.083785,3.20797142e-10,1.8934998e-13,0.0,1488.58095,1488.58095,372.44052,30.7982992,372.440522,7.60593534e-06,-1.0,1.0,7.60593534e-06,9.1977758e-05,-0.999999996,0.999999996,9.1977758e-05
4,439.4256314229962,51381877.273131676,51381877.273131676,0.05910254725379273,0.05910254725379273,0.0004857426673032444,1.1998651836233316e-05,0.01102391987645436,517.1344366601228,0.0004975723673569318,0.011450594244466015,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,54.2937006,124.861331,1.07738027e-11,6.35921913e-15,1.06810273e-19,7168.2389,7168.2389,439.42563,4.18713026,439.425638,1.86837266e-06,-1.0,1.0,1.86837266e-06,0.000196079602,-0.999999981,0.999999981,0.000196079602
5,359.7785572151371,45538944.685802996,45538944.685802996,0.0075423957234674556,0.0075423957234674556,0.03766482602989946,9.883454145486882e-06,0.09452033783737115,758.5743424654198,0.004497043286750201,0.05355708167957058,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,119.864188,235.824868,6.43992907e-10,3.80115743e-13,0.0,6748.27171,6748.27171,359.77856,28.7275794,359.779408,0.000173924336,-0.999999985,0.999999985,0.000173924336,0.00217819422,-0.999997628,0.999997628,0.00217819422
6,314.567361239404,2345765.1756266947,2345765.1756266947,0.0006467653008848267,0.0006467653008848267,0.0007598052889199536,8.586319732397712e-06,0.018507639581320318,897.3931908138541,0.0009401587786332753,0.01019573904063557,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,121.926178,125.015873,2.90613473e-10,1.71534119e-13,0.0,1531.59544,1531.59544,314.56736,6.46973397,314.567402,1.06481022e-05,-1.0,1.0,1.06481022e-05,0.000517725368,-0.999999866,0.999999866,0.000517725368
7,265.34872989918955,21374590.069279216,21374590.069279216,0.006273044092986058,0.006273044092986058,0.00011238810022803321,7.3009697997281395e-06,0.02313150824582511,626.90022780431,0.0010167038609363015,0.04442586700476343,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,95.3453041,124.861437,1.53031144e-10,9.03263782e-14,0.0,4623.2865,4623.2865,265.34873,19.693334,265.348789,4.95113077e-05,-0.999999999,0.999999999,4.95113077e-05,0.000667117238,-0.999999777,0.999999777,0.000667117238
8,228.1774774211776,26909381.497489307,26909381.497489307,0.0010775371968775043,0.0010775371968775043,0.02218734451620757,7.815198407636936e-05,0.09873872171721158,690.5482629551877,0.0006909444611068945,0.05035473053701554,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,123.084171,218.002348,9.64923559e-11,5.69544526e-14,0.0,5187.42839,5187.42839,228.17748,24.5877765,228.177512,5.71633199e-05,-0.999999998,0.999999998,5.71633199e-05,0.000530482382,-0.999999859,0.999999859,0.000530482382
9,434.47904674303373,3674981.3967297585,3674981.3967297585,0.0012382211637356109,0.0012382211637356109,0.01612093588888202,1.937202679962909e-05,0.024429379115972344,822.8138498810063,0.007948066218100921,0.09970242237077814,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,113.058581,139.095073,1.79932445e-08,1.06204826e-11,0.0,1917.03378,1917.03378,434.47905,58.008293,434.481269,0.000430576666,-0.999999907,0.999999907,0.000430576666,0.00322499648,-0.9999948,0.9999948,0.00322499648
