,MDF,MS12,MS22,LamS1H,LamS2H,LamSPH,LamS,LamSP,vS,YRD,YRC,YRA11,YRA12,YRA13,YRA21,YRA22,YRA23,YRB11,YRB12,YRB13,YRB21,YRB22,YRB23,mh1,mh2,mv3,mv2,mv1,mS1,mS2,mCha,mChi1,mChi2,XV11,XV12,XV21,XV22,XU11,XU12,XU21,XU22,vevSM,Omega,PSI,PSD,NSI,NSD,T,S,U,mueg,taumug,sv,ZH11,ZH12,ZH21,ZH22,BRh1gg,BRh2gg,mn1,mn2,mn3,cxxh1,cxxh2,mr,NSI_scalar,NSI_vector,Xenon1T_SI,Dwarfs_bb_sv,R1,R2
278,1998.041146332401,1873847.345918379,1873847.345918379,0.0142858686530137,0.0142858686530137,0.003252003656569916,0.1108636435182405,1.343971465119426,679.4372202304879,0.02442962223764594,2.173524882752396,0.0,-0.2717723555710917,-0.264745685185399,0.0,-0.07655424576198129,-2.8335527725676134e-06,2.1686882828091894e-09,1.0233495512762132e-08,1.0080607046598482e-08,-2.921197468540129e-09,-3.172771991295346e-08,-4.148635520848437e-08,124.860009,787.6704139999999,4.97595162e-11,8.66251693e-12,3.9961449900000004e-19,1369.04186,1369.04186,1998.0411,1044.23349,1998.04726,0.0015222351999999999,-0.9999988409999999,0.9999988409999999,0.0015222351999999999,0.00291265174,-0.999995758,0.999995758,0.00291265174,244.874425,0.124,6.554e-13,3.8799999999999996e-13,8.177e-14,2.967e-13,1.73867535e-07,3.6831243900000005e-07,1.97094611e-05,0.0,5.41110615e-13,2.8399999999999997e-31,0.9999995999999999,-0.000894555515,0.000894555515,0.9999995999999999,0.00282313336,0.0,0.0,8.662512244491779e-12,4.9759496149128255e-11,0.0013485521295836759,1.536905244520814,0.9387153810217359,2.7244942915342586e-13,1.5090896580913687e-13,9.003975386557183e-10,1.994582641231123e-25,1.0260067710122593,0.0
279,693.4934667740828,1296971.1957602287,1296971.1957602287,0.0009543512225665047,0.0009543512225665047,0.00025246144097499046,0.0555290106601144,0.003153902138378111,9577.998570052603,1.5832888292033483e-05,0.07193323204933526,0.0,0.00040859188237198833,2.6394978779478283e-06,0.0,-0.02332685477232982,0.00026789423574388337,-0.2151479719251641,-1.0175369957730558,-0.9467888498319856,-0.003729570737498872,-0.017784510534929233,-0.016634033868493468,124.85681799999999,537.897883,5.072202070000001e-11,8.525503040000001e-12,3.6897952000000003e-19,1138.859,1138.859,693.49347,487.17988099999997,693.49347,5.483026200000001e-06,-1.0,1.0,5.483026200000001e-06,7.805007990000001e-06,-1.0,1.0,7.805007990000001e-06,244.874425,0.115,3.3590000000000003e-15,9.693e-24,3.464e-15,7.412e-24,7.63923436e-07,4.9487959e-07,0.0001640904,0.0,6.46869601e-20,2.29e-26,0.999997661,-0.00216305828,0.00216305828,0.999997661,0.00282974799,0.0,4.336808689942018e-19,8.525685356934319e-12,5.072202905632115e-11,0.00011002276496234645,0.050864357202607895,0.9377514815935388,1.9110706206006963e-15,1.070819693573209e-23,4.176417493332374e-10,8.860629760736707e-26,1.0284107152480857,0.0
280,1426.427059726863,1311376.0674340476,1311376.0674340476,0.001745948404606619,0.001745948404606619,0.0006124525488590463,1.2400366480847544,0.014739609370478787,1116.3945805807589,-8.797795852273344e-06,-0.08036880860243319,0.0,-2.132492783811605e-06,0.032693047380102924,0.0,4.927289295786502e-06,0.03325816217562,1.2405282449997674,1.3196766683962726,-1.5431922555128847,-1.2198723613373337,-1.29917344645814,1.5149849261930224,124.821706,135.57494599999998,4.86489503e-11,8.69078859e-12,2.6076844600000003e-19,1145.17616,1145.17616,1426.4271,63.443957,1426.4271,4.75941313e-08,-1.0,-1.0,-4.75941313e-08,1.07007132e-06,1.0,-1.0,1.07007132e-06,244.874423,0.12,9.852e-14,1.296e-26,1.013e-13,9.912e-27,3.07390432e-05,3.56287321e-05,3.71956735e-05,0.0,2.9346715e-24,1.67e-26,0.9982042790000001,-0.05990173730000001,0.05990173730000001,0.9982042790000001,0.0028255332399999998,0.0,0.0,8.945049335268499e-12,5.00862077430933e-11,-0.0034041755704537807,0.05672727993814209,0.9258488354856413,3.71722884474589e-14,1.7028464684910502e-27,6.183935087073555e-11,1.3220886689163826e-26,1.0268789555021967,0.0
281,1059.9753906800356,6449642.751261239,6449642.751261239,0.0038502438651349226,0.0038502438651349226,0.00026738806956941145,0.3190945717735045,0.11380913453007775,618.903953222725,-2.6761827742433723e-06,0.2362913705183063,0.0,1.0786770978675836e-05,0.011356888715010996,0.0,-0.4042253152223916,-3.565983211474269e-06,0.006022636729811904,0.029834165770983374,0.02881528324419065,-0.00011713711101225635,-0.00010455727462779184,0.00013436423756793588,124.86171200000001,208.791156,4.925336629999999e-11,8.64367416e-12,2.31179037e-19,2539.63742,2539.63742,1059.9754,103.40847099999999,1059.9754,4.3058800000000004e-08,1.0,-1.0,4.3058800000000004e-08,4.4136876100000005e-07,1.0,-1.0,4.4136876100000005e-07,244.874425,0.11900000000000001,8.656e-15,3.737e-28,8.903e-15,2.858e-28,9.79250535e-08,9.10497415e-08,7.010968870000001e-05,0.0,2.9153112e-22,1.1000000000000002e-34,0.999998953,-0.0014471047199999998,0.0014471047199999998,0.999998953,0.00282706377,0.0,0.0,8.64367519232901e-12,4.925335956150019e-11,0.00024178693130568862,0.16708305549321503,0.9311001087577779,1.5097622055873613e-14,5.0031328455571117e-29,9.441674524893828e-11,2.0001033309535888e-26,1.0274351935338415,0.0
282,467.72086927108336,2484347.385182206,2484347.385182206,0.0009394207244142149,0.0009394207244142149,0.0010496206404365415,0.00841963848159994,0.05788235507044651,5133.591308472061,-7.110315666625538e-05,0.12668874299761654,0.0,0.020249093526202556,0.003034933227305568,0.0,0.08051823375028491,-0.0001388031738459203,0.00019110986725578942,0.0009677235125792565,0.0008783414656052384,-4.355279342579654e-05,-0.00023898545739930503,-0.0002266945005034145,124.85732900000001,1235.07847,5.029500870000001e-11,8.54685742e-12,2.2784670999999997e-19,1576.19021,1576.19021,467.72087,459.87976900000007,467.720875,0.00077843689,0.999999697,-0.999999697,0.00077843689,0.000791709494,0.9999996870000001,-0.9999996870000001,0.000791709494,244.874425,0.11900000000000001,2.667e-15,4.421e-18,7.661e-17,3.381e-18,2.1894953e-07,1.1755670000000001e-07,0.000362209044,0.0,2.9740691400000003e-18,9.279999999999999e-38,0.9999996179999999,-0.000873915279,0.000873915279,0.9999996179999999,0.00283220199,0.0,4.336808689942018e-19,8.546881364769888e-12,5.029501191159801e-11,7.824830255126669e-05,0.08958237983613646,0.9376443403519646,8.879956311520971e-16,1.965941775055056e-15,3.9221911721661285e-10,8.351670161149788e-26,1.0293025684817083,0.0
283,139.24257184053008,192381377.52589533,192381377.52589533,0.010755803297814587,0.010755803297814587,0.0018289936426379926,0.0556286151487727,0.2513336655395039,1395.6111100463086,-0.00016094327914642462,0.13154319277468676,0.0,-1.192350628616069e-06,0.009779462808901232,0.0,-0.5844798149720682,0.04169362868496738,0.005720916214929586,0.0261997937072071,0.025016507246060454,-6.032833887798004e-05,-5.488613650331615e-05,6.921864066963789e-05,124.858646,699.6649480000001,4.91915737e-11,8.576187330000001e-12,2.9277094399999996e-19,13870.1731,13870.1731,139.24257,129.812861,139.242591,0.0014258650400000002,0.999998983,-0.999998983,0.0014258650400000002,0.00152944101,0.99999883,-0.99999883,0.00152944101,244.874425,0.115,9.812000000000001e-15,9.44e-16,1.3319999999999999e-14,7.218e-16,3.4954730100000006e-07,2.1286990399999997e-07,0.00441952916,0.0,2.54097392e-16,7.27e-36,0.99999913,-0.0013188511999999999,0.0013188511999999999,0.99999913,0.0028397716600000004,0.0,4.336808689942018e-19,8.57618767509846e-12,4.919157547037661e-11,0.0001225105174437262,0.09301479906907847,0.9328085151185077,2.2476414833471945e-15,2.473000025704667e-14,1.1567899932474234e-10,2.451833159438312e-26,1.032053601353329,0.0
284,478.74773654075653,107741896.96637534,107741896.96637534,0.0021877597729761363,0.0021877597729761363,0.004771948603534555,0.14743046213536112,0.5124739149965333,422.83423217250777,-0.004535651305149828,1.4780369161820208,0.0,-0.0065791607529444756,0.1105723985585423,0.0,0.20791151070303895,-0.0006419364158214343,1.2507119265225452e-06,6.24043320881175e-06,5.8780692312798076e-06,5.021130342728065e-07,5.86467705065506e-07,-3.247674859353165e-07,124.84908899999999,302.700841,4.91387451e-11,8.44057549e-12,2.3891364899999996e-19,10379.8827,10379.8827,478.74774,441.912684,478.75209400000006,0.0102333319,0.999947638,-0.999947638,0.0102333319,0.0110863179,0.999938545,-0.999938545,0.0110863179,244.874425,0.12,2.179e-11,3.366e-12,4.301e-11,2.5739999999999997e-12,3.71734755e-06,3.06202082e-06,0.000345486335,0.0,9.59919272e-19,3.4299999999999996e-31,0.999978888,-0.00649790723,0.00649790723,0.999978888,0.00283212502,0.0,0.0,8.440576234398986e-12,4.9138746920497046e-11,0.0067575668491307046,1.0449887005651906,0.9375666195767093,8.898168294543243e-12,6.70282011399031e-11,3.7548766233602017e-10,8.018456336466414e-26,1.0292745953996414,0.0
285,432.86637394067145,1037460.3727633251,1037460.3727633251,0.004538321971702747,0.004538321971702747,0.0002959359033464202,0.001225762080906667,0.0032076212128658898,21838.31602311988,-4.950032811413109e-06,0.02746416756164194,0.0,0.0010829678226856648,-0.0010875932851601468,0.0,-0.010891968503784304,-0.003418439028556641,-0.0032334722170722155,-0.017768085382457742,-0.0202212509208346,-0.0006945591741743817,-0.00209987984033568,-0.0016094103883494742,124.855323,1236.83258,4.9783091399999996e-11,8.99806634e-12,1.0873866699999998e-19,1018.6247900000001,1018.6247900000001,432.86637,424.102268,432.86637,4.839881820000001e-05,0.999999999,-0.999999999,4.839881820000001e-05,4.9398983e-05,0.999999999,-0.999999999,4.9398983e-05,244.874425,0.12,1.2930000000000003e-16,9.736000000000001e-23,1.2790000000000002e-16,7.445e-23,3.1341018199999997e-07,1.68189478e-07,0.000423404363,0.0,5.847414650000001e-18,3.879999999999999e-33,0.999999454,-0.0010451701,0.0010451701,0.999999454,0.00283270245,0.0,0.0,8.998064254971173e-12,4.978309878816759e-11,2.0297137495722004e-05,0.01942008848008927,0.9374830914807755,5.972820156075878e-17,2.9590698527334486e-20,3.5944144517571077e-10,7.689518288657097e-26,1.0294844498465408,0.0
286,440.7787269737769,3786787.9206924387,3786787.9206924387,0.0860623370611024,0.0860623370611024,0.0031573965890178825,0.0006265066808027666,0.9162408740507916,2036.2740477914886,1.0406821328303103e-05,0.26345477248516186,0.0,3.0310195737982842e-05,-0.10568996411979988,0.0,-2.91733750622784e-06,3.535227791608161e-05,0.0005075032732353943,0.0007079472830691776,-0.00030693450916486264,1.3430194700386768,1.2600169591253068,-1.6912528234757982,124.859324,1949.13125,4.91068166e-11,8.65050395e-12,3.1260959800000003e-19,1946.6299600000002,1946.6299600000002,440.77873,379.338816,440.77873,1.35658527e-05,-1.0,1.0,1.35658527e-05,1.5763056900000002e-05,-1.0,1.0,1.5763056900000002e-05,244.874425,0.124,1.894e-15,4.2240000000000004e-23,1.9510000000000003e-15,3.23e-23,6.19851033e-08,3.10858741e-08,0.000408219599,0.0,6.491392470000001e-21,2.11e-26,0.999999913,-0.00041611413500000004,0.00041611413500000004,0.999999913,0.0028325558399999997,0.0,4.336808689942018e-19,8.650503299876594e-12,4.910679285393925e-11,7.751807541919922e-05,0.18629063995288836,0.9372386137489975,8.601703062911758e-16,2.419874967557314e-22,3.207061378693943e-10,6.868811605560642e-26,1.0294311676124,0.0
287,1388.197010943368,1245905.4379443834,1245905.4379443834,0.0013210996165337154,0.0013210996165337154,0.00094363200128262,0.1044466513089949,0.38980570610901183,458.6584731201257,0.00037174723724041266,1.5069033854592389,0.0,-7.871353299850697e-06,0.006227700772145968,0.0,-1.0994018381752216e-06,-2.189949868676241e-06,2.7778256577443257e-06,-3.4181298649790414e-05,-5.215402676255366e-05,0.032164674985493656,0.028517302703715795,-0.0394513300477831,124.86126999999999,286.361062,5.07700908e-11,8.87041649e-12,2.0924704100000004e-19,1116.2190699999999,1116.2190699999999,1388.1970000000001,488.71968499999997,1388.1970000000001,1.8633773199999997e-05,-1.0,1.0,1.8633773199999997e-05,5.29288033e-05,-0.999999999,0.999999999,5.29288033e-05,244.874425,0.115,5.978e-13,6.132999999999999e-20,6.162e-13,4.6900000000000004e-20,2.07422352e-07,1.6774798699999998e-07,4.08473192e-05,0.0,8.84877364e-25,3.77e-31,0.999998727,-0.00159583285,0.00159583285,0.999998727,0.0028253880600000005,0.0,4.336808689942018e-19,8.87041573009424e-12,5.07700867032139e-11,0.00170042139237242,1.0655402449433768,0.9377571687400694,5.820613447508218e-13,1.282519206266613e-20,4.190756581253958e-10,8.889432022550786e-26,1.0268261929706333,0.0
