,mcha,cross
0,100.01,2.326
1,200.01,0.1894
2,300.01,0.03977
3,400.01,0.01212
4,500.01,0.004531
5,600.01,0.001929
6,700.01,0.0008968
7,800.01,0.0004443
8,900.01,0.0002318
9,1000.01,0.0001256
