,MDF,MS12,MS22,LamS1H,LamS2H,LamSPH,LamS,LamSP,vS,YRD,YRC,mh1,mh2,mv3,mv2,mv1,mS1,mS2,mCha,mChi1,mChi2,XV11,XV12,XV21,XV22,XU11,XU12,XU21,XU22,vevSM,Omega,PSI,PSD,NSI,NSD,T,S,U,mueg,taumug,sv,ZH11,ZH12,ZH21,ZH22,BRh1gg,BRh2gg,BRx1x1u1U1,BRx1x1u2U2,BRx1x1u3U3,BRx1x1d1D1,BRx1x1d2D2,BRx1x1d3D3,BRx1x1e1E1,BRx1x1e2E2,BRx1x1e3E3,BRxx2d1U1,BRxx2d2U2,BRxx2d3U3,BRxx2e1Nu1,BRxx2e2Nu2,BRxx2e3Nu3,BRx1x1h1h1,BRx1x1h2h2,BRx1x1h1h2,BRx1x1gg,BRx1x1ww,BRx1x1ZZ,BRxxww,BRx2x2ww,Xf,vsigmaeff
10,295.0376277631826,6488542.6617292,6488542.6617292,0.02606283801862721,0.02606283801862721,0.002792807078171866,0.0,0.7161536690146239,419.5010632893656,0.0007999700547877468,0.957760629689918,124.858963,355.007442,5.0616419e-11,8.93529254e-12,1.22671541e-19,2547.41518,2547.41518,295.03763,284.102063,295.038077,0.00621359405,-0.999980695,0.999980695,0.00621359405,0.00645276575,-0.999979181,0.999979181,0.00645276575,244.874425,0.121,1.988e-12,9.319e-14,6.486e-12,7.126e-14,7.26688715e-07,5.49851518e-07,0.000920438095,0.0,1.83744562e-16,4.92e-34,0.999996626,-0.00259770865,0.00259770865,0.999996626,0.00283506771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,12.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,27.1,5.583e-26
11,4752.751747518771,2857117.603837002,2857117.603837002,0.0021605124232214924,0.0021605124232214924,0.001762405091069839,0.0,0.7099130815651967,198.54091340956646,0.0019451274931840189,0.577140047271515,124.859575,167.285074,5.04178016e-11,8.82767092e-12,2.99973149e-19,1690.3202,1690.3202,4752.7517,81.0244743,4752.75171,1.20845007e-06,-1.0,1.0,1.20845007e-06,7.0885534e-05,-0.999999997,0.999999997,7.0885534e-05,244.874424,0.118,5.658e-13,2.52e-19,5.814e-13,1.927e-19,1.22333518e-06,1.26938464e-06,3.42870381e-06,0.0,6.65733683e-24,6.06e-35,0.999976103,-0.00691328808,0.00691328808,0.999976103,0.00281775778,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,24.6,3.712e-26
12,8046.994311790617,120260188.9924541,120260188.9924541,0.0010699798808893324,0.0010699798808893324,0.0018073241029073024,0.0,0.01969344380984529,1566.042379646823,0.0008220297766027771,0.09179059221028654,124.803147,219.801344,5.08690258e-11,8.87730819e-12,2.07522961e-19,10966.3222,10966.3222,8046.9943,101.645157,8046.9943,2.23462461e-07,-1.0,1.0,2.23462461e-07,1.76909674e-05,-1.0,1.0,1.76909674e-05,244.874422,0.12,3.116e-13,9.826e-22,3.204e-13,7.514e-22,2.33594618e-05,2.12064774e-05,3.22631004e-07,0.0,7.19954702e-18,3.9e-35,0.999775763,-0.0211760074,0.0211760074,0.999775763,0.00281491345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,26.5,7.156e-26
13,4166.552032812793,347229420.19227886,347229420.19227886,0.025742431577925128,0.025742431577925128,0.008613176238348919,0.0,0.3083075892893232,366.0093667886925,0.2537286121302421,0.35755485875924964,124.76918,203.285325,5.02109293e-11,8.78187466e-12,3.63280024e-19,18634.1137,18634.1137,4166.552,92.5328071,4166.78373,0.000234277228,-0.999999973,0.999999973,0.000234277228,0.0105489964,-0.999944358,0.999944358,0.0105489964,244.874421,0.118,1.284e-11,1.239e-10,3.412e-12,9.476e-11,3.53461837e-05,4.55948072e-05,2.95367285e-06,0.0,5.24325171e-17,1.44e-32,0.999550379,-0.0299839811,0.0299839811,0.999550379,0.00281925227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,27.0,0.0,0.0,26.6,7.898e-26
14,255.52858405455856,6659172.370125162,6659172.370125162,0.00039260790226540026,0.00039260790226540026,0.0016570113111049876,0.0,0.11978744489840787,952.1616138140564,0.0006691750367467161,0.2335073810414181,124.855521,329.548636,4.985161e-11,8.56533506e-12,4.00658625e-19,2580.53951,2580.53951,255.52858,157.215807,255.528622,0.000448924322,-0.999999899,0.999999899,0.000448924322,0.00072965306,-0.999999734,0.999999734,0.00072965306,244.874425,0.122,1.247e-13,1.106e-15,1.037e-13,8.455e-16,1.69746661e-06,1.30844687e-06,0.00123468446,0.0,8.2924001e-18,6.04e-35,0.999991373,-0.00415372541,0.00415372541,0.999991373,0.00283599632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,45.0,20.0,0.0,0.0,26.5,5.058e-26
15,1984.4429296279238,329872860.89388865,329872860.89388865,0.0014757541153914814,0.0014757541153914814,0.020004078720374786,0.0,0.8575197626364083,620.3703204352943,0.00021006095073515565,0.60741610966399,124.744292,574.503134,4.95424883e-11,8.86655869e-12,3.44748324e-19,18162.4036,18162.4036,1984.4429,266.454047,1984.4429,2.50622532e-06,-1.0,1.0,2.50622532e-06,1.86653613e-05,-1.0,1.0,1.86653613e-05,244.87442,0.116,5.214e-12,1.188e-21,5.371e-12,9.084e-22,1.61191953e-05,1.0251839e-05,1.96356427e-05,0.0,2.0162569e-20,1.24e-33,0.99995331,-0.0096632382,0.0096632382,0.99995331,0.00282406267,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,42.0,20.0,0.0,0.0,27.1,8.055e-26
16,4745.144272911582,326686689.7909975,326686689.7909975,0.09364864544745018,0.09364864544745018,0.005444802544219027,0.0,0.31999043824896795,290.8103599689478,0.00011450112884772793,0.9558050337754924,124.809514,164.544508,4.97689503e-11,8.8053244e-12,3.99875756e-19,18074.5539,18074.5539,4745.1443,196.54599,4745.1443,1.73360152e-07,-1.0,1.0,1.73360152e-07,4.18537633e-06,-1.0,1.0,4.18537633e-06,244.874422,0.115,3.213e-11,3.096e-24,3.308e-11,2.367e-24,2.75096756e-05,2.87858693e-05,2.26866294e-06,0.0,1.37348239e-23,2.93e-31,0.999430552,-0.0337427234,0.0337427234,0.999430552,0.00281814612,0.000205594184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,3.778e-26
17,5040.540741224602,180060126.22309604,180060126.22309604,0.04140692086364466,0.04140692086364466,0.0023280214485137595,0.0,0.10267022046039873,3156.576495782895,0.0001335881730984456,0.22129782985316104,124.849075,1011.43796,5.01107073e-11,8.80260062e-12,3.67261605e-19,13418.6948,13418.6948,5040.5407,493.944867,5040.5407,4.54057965e-07,-1.0,1.0,4.54057965e-07,4.63350832e-06,-1.0,1.0,4.63350832e-06,244.874424,0.116,2.383e-14,4.604e-24,2.457e-14,3.52e-24,8.16956502e-07,4.54844312e-07,3.0834237e-06,0.0,1.98162517e-21,5.05e-35,0.999998405,-0.00178622876,0.00178622876,0.999998405,0.00281747353,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,46.0,23.0,0.0,0.0,26.8,3.329e-26
18,2035.7737373378573,113619997.6513252,113619997.6513252,0.07493274696460173,0.07493274696460173,0.0007994823060098823,0.0,0.016013569069117942,5524.077491002975,0.00042838540078712683,0.0892018479753195,124.852046,699.044671,4.98511118e-11,8.79562867e-12,1.5189986e-19,10659.3737,10659.3737,2035.7737,348.432468,2035.7737,6.42443562e-06,-1.0,1.0,6.42443562e-06,3.75358162e-05,-0.999999999,0.999999999,3.75358162e-05,244.874424,0.121,6.319e-15,1.902e-20,6.501e-15,1.454e-20,1.04956224e-06,6.33867156e-07,1.89681166e-05,0.0,8.25870561e-21,7.46e-34,0.999997387,-0.00228603462,0.00228603462,0.999997387,0.00282308002,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,44.0,21.0,0.0,0.0,24.3,6.265e-27
19,6517.845847904952,78512894.23533946,78512894.23533946,0.06447458084523527,0.06447458084523527,0.0002747994275096963,0.0,0.2489768841107793,256.8326206573811,0.00015265658021859502,0.8173010405999707,124.860511,128.154669,5.00643905e-11,8.67854564e-12,1.11914584e-19,8860.85927,8860.85927,6517.8458,148.428479,6517.8458,9.2401349e-08,-1.0,1.0,9.2401349e-08,4.05756194e-06,-1.0,1.0,4.05756194e-06,244.874424,0.121,1.303e-13,2.733e-24,1.341e-13,2.09e-24,7.61048654e-06,9.09389085e-06,1.47274079e-06,0.0,5.89461262e-18,2.7e-31,0.9997849,-0.0207401509,0.0207401509,0.9997849,0.00281579394,0.0027658459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,3.673e-26
